0,1,1
0,2,1
1,2,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,11,1
3,12,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,1
5,6,2
5,7,1
5,8,1
5,9,1
5,11,1
5,12,1
5,25,1
5,28,1
6,7,1
6,8,1
6,9,1
6,11,1
6,12,1
6,25,1
6,28,1
7,8,1
7,9,1
8,9,1
10,11,1
10,12,1
10,13,1
10,14,1
10,68,1
11,12,10
11,13,3
11,14,2
11,18,1
11,25,5
11,28,1
11,68,2
11,85,1
12,13,3
12,14,2
12,18,2
12,21,1
12,25,5
12,28,1
12,68,2
12,84,1
12,85,2
12,86,1
12,87,1
13,14,2
13,68,2
13,85,1
14,68,2
14,85,1
16,17,1
18,19,2
18,20,1
18,21,1
18,22,6
18,23,2
18,25,2
18,27,1
18,29,4
18,31,1
18,34,2
18,35,1
18,43,1
18,47,1
18,59,1
18,60,1
18,63,1
18,64,2
18,65,1
18,71,1
18,76,1
18,100,1
19,20,1
19,23,1
19,25,1
19,32,1
19,33,2
19,34,1
19,35,1
19,88,1
22,23,2
22,29,2
22,30,1
22,31,2
22,59,1
22,60,1
22,63,2
22,72,2
22,75,2
22,76,11
22,77,2
22,78,1
22,98,1
22,99,1
23,24,1
23,25,2
23,34,2
23,35,1
23,100,1
25,26,1
25,27,1
25,28,1
25,34,2
25,35,1
25,100,1
26,27,1
27,29,4
27,43,5
27,45,5
27,47,7
27,51,4
27,61,1
27,64,1
27,68,5
27,70,4
27,89,4
27,97,1
29,30,1
29,43,4
29,47,2
29,51,2
29,54,1
29,64,5
29,68,1
29,71,1
29,75,1
29,76,1
32,33,1
33,88,1
34,35,1
34,100,1
36,45,2
36,46,1
36,47,3
36,48,2
36,61,1
36,68,1
36,91,1
36,92,1
39,40,1
39,41,1
39,42,1
39,47,1
39,48,1
39,49,1
39,50,1
40,41,1
40,42,1
41,42,1
43,47,4
43,51,1
43,61,1
43,64,2
43,68,1
45,46,1
45,47,9
45,48,3
45,50,1
45,51,5
45,54,1
45,55,1
45,68,4
45,89,4
45,94,1
46,47,1
46,48,1
47,48,8
47,49,1
47,50,10
47,51,5
47,54,1
47,55,1
47,68,2
47,89,4
47,90,2
47,93,1
48,49,1
48,50,4
48,51,3
48,68,1
48,89,3
48,93,3
48,95,1
49,50,1
50,51,5
50,89,3
50,90,2
51,52,1
51,54,1
51,89,4
51,96,1
52,96,2
54,68,1
54,70,2
56,57,1
61,62,1
61,66,1
61,67,1
63,64,3
63,72,2
64,68,1
68,69,1
68,70,4
68,79,1
68,83,1
68,85,1
68,89,7
68,97,1
70,89,7
70,93,4
70,97,1
73,74,1
75,76,1
75,77,1
76,77,2
76,78,1
76,98,1
79,80,1
79,81,1
79,82,1
79,83,1
80,81,1
80,82,1
81,82,1
84,85,1
84,86,1
84,87,1
85,86,1
85,87,1
86,87,1
89,93,8
89,94,1
89,95,1
91,92,1
93,95,1
