11,12,1
11,143,2
11,144,1
11,145,2
14,101,2
18,19,11
18,21,3
18,22,5
18,25,1
18,29,15
18,32,1
18,33,6
18,34,3
18,52,4
18,61,2
18,66,1
18,71,1
18,99,1
18,100,5
18,102,1
18,103,1
18,104,1
18,108,1
18,110,1
18,125,2
18,127,1
18,132,1
18,140,1
18,146,1
18,153,1
19,22,1
19,66,1
22,31,1
22,75,1
22,77,2
22,109,3
23,99,5
27,36,3
27,43,2
27,47,5
27,51,1
27,68,1
27,70,1
27,97,2
27,119,1
27,126,1
27,136,2
27,138,1
29,43,6
29,47,2
29,51,2
29,54,1
29,63,1
29,64,1
29,98,1
29,139,3
36,47,2
36,61,4
36,148,1
40,45,1
43,47,6
43,139,1
45,47,7
45,51,1
45,54,1
45,68,3
45,69,2
47,48,4
47,49,2
47,50,3
47,51,4
47,54,4
47,56,1
47,68,5
47,95,1
47,96,1
47,97,1
47,121,1
47,123,1
47,147,1
47,151,4
49,56,2
52,124,1
54,68,3
54,69,1
56,125,1
61,62,2
61,66,10
61,67,5
61,70,1
61,75,1
61,80,3
61,105,2
61,117,2
61,128,6
61,129,1
61,130,1
61,131,4
61,133,1
61,134,1
64,75,3
68,70,3
68,97,1
68,149,1
68,150,1
68,151,1
68,152,1
69,77,3
75,112,5
75,113,3
75,114,2
75,115,1
75,116,1
77,114,1
77,137,1
99,118,3
106,107,1
109,110,1
109,111,1
143,144,2
